Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,3.250000,3.250000,3.010000,3.010000,2.724584,100700
2009-05-05,2.940000,3.240000,2.940000,3.240000,2.932775,78400
2009-05-06,2.910000,3.370000,2.910000,3.370000,3.050448,105900
2009-05-07,3.370000,3.370000,2.950000,3.200000,2.896567,250600
2009-05-08,3.160000,3.390000,3.080000,3.330000,3.014240,142200
2009-05-11,3.250000,3.250000,3.000000,3.160000,2.860360,54500
2009-05-12,3.220000,3.400000,3.170000,3.350000,3.032344,111500
2009-05-13,3.370000,3.370000,3.180000,3.230000,2.923722,37500
2009-05-14,3.230000,3.420000,3.200000,3.420000,3.095707,22400
2009-05-15,3.370000,3.400000,3.070000,3.340000,3.023292,57600
2009-05-18,3.300000,3.340000,3.240000,3.300000,2.987085,58500
2009-05-19,3.290000,3.350000,3.250000,3.300000,2.987085,64300
2009-05-20,3.260000,3.420000,3.200000,3.420000,3.095707,44800
2009-05-21,3.360000,3.580000,3.230000,3.240000,2.932775,83400
2009-05-22,3.200000,3.450000,3.200000,3.290000,2.978034,22400
2009-05-26,3.200000,3.400000,3.200000,3.290000,2.978034,16000
2009-05-27,3.260000,3.380000,3.260000,3.270000,2.959930,17200
2009-05-28,3.290000,3.390000,3.270000,3.290000,2.978034,22200
2009-05-29,3.210000,3.630000,3.210000,3.630000,3.285794,161100
2009-06-01,3.640000,3.720000,3.590000,3.720000,3.367260,38300
2009-06-02,3.640000,3.830000,3.440000,3.830000,3.466829,56100
2009-06-03,3.740000,3.930000,3.740000,3.920000,3.548295,26400
2009-06-04,3.870000,4.110000,3.870000,4.030000,3.647865,53500
2009-06-05,4.100000,4.100000,3.920000,4.010000,3.629761,25500
2009-06-08,3.900000,3.990000,3.760000,3.810000,3.448726,44500
2009-06-09,3.780000,3.780000,3.540000,3.690000,3.340104,72200
2009-06-10,3.690000,3.790000,3.630000,3.750000,3.394414,18500
2009-06-11,3.810000,3.920000,3.750000,3.920000,3.548295,27100
2009-06-12,3.900000,3.970000,3.610000,3.680000,3.331052,36900
2009-06-15,3.700000,3.700000,3.510000,3.700000,3.349156,30800
2009-06-16,3.700000,3.700000,3.620000,3.640000,3.294846,16100
2009-06-17,3.570000,3.700000,3.550000,3.650000,3.303897,20400
2009-06-18,3.590000,3.760000,3.590000,3.620000,3.276742,8700
2009-06-19,3.670000,3.790000,3.670000,3.730000,3.376311,10200
2009-06-22,3.610000,3.640000,3.010000,3.320000,3.005189,88200
2009-06-23,3.290000,3.460000,3.210000,3.280000,2.968981,39300
2009-06-24,3.260000,3.350000,3.250000,3.300000,2.987085,13400
2009-06-25,3.260000,3.320000,3.220000,3.220000,2.914670,27000
2009-06-26,3.150000,3.220000,2.980000,3.130000,2.833205,22700
2009-06-29,3.060000,3.340000,3.020000,3.320000,3.005189,65300
2009-06-30,3.390000,3.570000,3.380000,3.570000,3.231483,80400
2009-07-01,3.540000,3.570000,3.280000,3.460000,3.131914,36800
2009-07-02,3.400000,3.420000,3.270000,3.310000,2.996137,46000
2009-07-06,3.220000,3.280000,3.090000,3.180000,2.878464,35200
2009-07-07,3.140000,3.370000,3.140000,3.330000,3.014240,27300
2009-07-08,3.300000,3.330000,3.140000,3.190000,2.887516,26300
2009-07-09,3.160000,3.240000,3.050000,3.190000,2.887516,29100
